id,name,message,thumbnailUrl,value,pageUrl,inventory,margin,categoryId,category,brand,entity.genre,entity.rating,entity.type,entity.tag
ART-001,Canvas Painting - Floral Burst,Beautiful handmade art that brings color and emotion to any space.,https://picasoo.com/images/canvas-floral.jpg,4500,https://picasoo.com/art/canvas-floral-burst,50,60,ART,Art Collection,Picasoo & Threads,Canvas Painting,4.8,Art,bestseller|handmade|floral
ART-002,Canvas Painting - Abstract Bloom,Bold abstract canvas with rich hues and expressive brushwork.,https://picasoo.com/images/canvas-abstract-bloom.jpg,3800,https://picasoo.com/art/canvas-abstract-bloom,35,55,ART,Art Collection,Picasoo & Threads,Canvas Painting,4.6,Art,handmade|abstract|canvas
ART-003,Abstract Art - Face Study,Modern creative design with vibrant colors and unique compositions.,https://picasoo.com/images/abstract-face-study.jpg,5200,https://picasoo.com/art/abstract-face-study,20,65,ART,Art Collection,Picasoo & Threads,Abstract Art,4.9,Art,featured|abstract|portrait
ART-004,Abstract Art - Geometric Waves,Contemporary geometric abstract print with layered wave patterns.,https://picasoo.com/images/abstract-geometric-waves.jpg,4100,https://picasoo.com/art/abstract-geometric-waves,30,58,ART,Art Collection,Picasoo & Threads,Abstract Art,4.5,Art,abstract|geometric|modern
ART-005,Landscape Art - Mountain Serenity,Nature-inspired artwork that captures the beauty of the outdoors.,https://picasoo.com/images/landscape-mountain.jpg,4800,https://picasoo.com/art/landscape-mountain-serenity,25,62,ART,Art Collection,Picasoo & Threads,Landscape Art,4.7,Art,landscape|nature|outdoors
ART-006,Landscape Art - Golden Meadow,Warm golden-hour landscape painting with rich earthy tones.,https://picasoo.com/images/landscape-golden-meadow.jpg,4300,https://picasoo.com/art/landscape-golden-meadow,40,60,ART,Art Collection,Picasoo & Threads,Landscape Art,4.6,Art,landscape|nature|handmade
ART-007,Canvas Painting - Ocean Dreams,Serene ocean-inspired canvas with calming blues and wave textures.,https://picasoo.com/images/canvas-ocean-dreams.jpg,3900,https://picasoo.com/art/canvas-ocean-dreams,28,57,ART,Art Collection,Picasoo & Threads,Canvas Painting,4.5,Art,canvas|ocean|handmade
ART-008,Abstract Art - Sunset Fusion,Vibrant abstract sunset artwork with warm gradient color blends.,https://picasoo.com/images/abstract-sunset-fusion.jpg,4600,https://picasoo.com/art/abstract-sunset-fusion,18,63,ART,Art Collection,Picasoo & Threads,Abstract Art,4.8,Art,abstract|sunset|featured
CRAFT-001,Handmade Cards - Floral Set (Pack of 5),Creative paper crafting with handmade greeting cards and artistic designs.,https://picasoo.com/images/cards-floral-set.jpg,850,https://picasoo.com/crafts/handmade-cards-floral,100,70,CRAFT,Crafts Collection,Picasoo & Threads,Handmade Cards,4.7,Craft,bestseller|cards|gifting|handmade
CRAFT-002,Handmade Cards - Birthday Collection (Pack of 6),Colorful handcrafted birthday cards with pop-up elements and ribbon details.,https://picasoo.com/images/cards-birthday-collection.jpg,950,https://picasoo.com/crafts/handmade-cards-birthday,80,72,CRAFT,Crafts Collection,Picasoo & Threads,Handmade Cards,4.6,Craft,cards|birthday|gifting|handmade
CRAFT-003,Embroidery Work - Botanical Hoop,Beautiful hand-stitched botanical embroidery in a wooden display hoop.,https://picasoo.com/images/embroidery-botanical-hoop.jpg,2200,https://picasoo.com/crafts/embroidery-botanical-hoop,15,68,CRAFT,Crafts Collection,Picasoo & Threads,Embroidery Work,4.9,Craft,featured|embroidery|textile|handmade
CRAFT-004,Embroidery Work - Peacock Textile Art,Intricate peacock design embroidered on premium linen fabric.,https://picasoo.com/images/embroidery-peacock.jpg,2800,https://picasoo.com/crafts/embroidery-peacock-textile,10,70,CRAFT,Crafts Collection,Picasoo & Threads,Embroidery Work,4.8,Craft,embroidery|textile|premium|handmade
CRAFT-005,Clay & Pottery - White Vase Set (Set of 2),Handmade ceramic pottery shaped with traditional artisan techniques.,https://picasoo.com/images/pottery-white-vase-set.jpg,3200,https://picasoo.com/crafts/clay-pottery-white-vase,22,66,CRAFT,Crafts Collection,Picasoo & Threads,Clay & Pottery,4.7,Craft,pottery|ceramic|home-decor|handmade
CRAFT-006,Clay & Pottery - Terracotta Bowl,Rustic terracotta bowl hand-thrown on the wheel by artisan potters.,https://picasoo.com/images/pottery-terracotta-bowl.jpg,1800,https://picasoo.com/crafts/clay-pottery-terracotta-bowl,35,64,CRAFT,Crafts Collection,Picasoo & Threads,Clay & Pottery,4.6,Craft,pottery|terracotta|rustic|handmade
CRAFT-007,Handmade Cards - Thank You Set (Pack of 4),Elegant hand-crafted thank you cards with gold foil detailing.,https://picasoo.com/images/cards-thankyou-set.jpg,750,https://picasoo.com/crafts/handmade-cards-thankyou,90,71,CRAFT,Crafts Collection,Picasoo & Threads,Handmade Cards,4.5,Craft,cards|gifting|thankyou|gold-foil
CRAFT-008,Embroidery Work - Abstract Thread Art,Contemporary abstract embroidery with bold thread colors on canvas.,https://picasoo.com/images/embroidery-abstract-thread.jpg,2500,https://picasoo.com/crafts/embroidery-abstract-thread,12,69,CRAFT,Crafts Collection,Picasoo & Threads,Embroidery Work,4.7,Craft,embroidery|abstract|modern|handmade
